# route_trace v1
# model=/data/local/tmp/shardllm/google_gemma-4-26B-A4B-it-Q4_K_M.gguf arch=gemma4 n_layer=30 n_expert=128 n_expert_used=6
# layer=0 expert_bytes=4336640 dense_bytes=44191236
# layer=1 expert_bytes=4336640 dense_bytes=44191236
# layer=2 expert_bytes=4336640 dense_bytes=44191236
# layer=3 expert_bytes=4336640 dense_bytes=38987268
# layer=4 expert_bytes=4336640 dense_bytes=38987268
# layer=5 expert_bytes=4336640 dense_bytes=52393476
# layer=6 expert_bytes=4336640 dense_bytes=38987268
# layer=7 expert_bytes=3593216 dense_bytes=38987268
# layer=8 expert_bytes=3593216 dense_bytes=44191236
# layer=9 expert_bytes=4336640 dense_bytes=38987268
# layer=10 expert_bytes=3593216 dense_bytes=38987268
# layer=11 expert_bytes=3593216 dense_bytes=52393476
# layer=12 expert_bytes=4336640 dense_bytes=38987268
# layer=13 expert_bytes=3593216 dense_bytes=38987268
# layer=14 expert_bytes=3593216 dense_bytes=44191236
# layer=15 expert_bytes=4336640 dense_bytes=38987268
# layer=16 expert_bytes=3593216 dense_bytes=38987268
# layer=17 expert_bytes=3593216 dense_bytes=52393476
# layer=18 expert_bytes=4336640 dense_bytes=38987268
# layer=19 expert_bytes=3593216 dense_bytes=38987268
# layer=20 expert_bytes=3593216 dense_bytes=44191236
# layer=21 expert_bytes=4336640 dense_bytes=38987268
# layer=22 expert_bytes=3593216 dense_bytes=38987268
# layer=23 expert_bytes=3593216 dense_bytes=52393476
# layer=24 expert_bytes=4336640 dense_bytes=38987268
# layer=25 expert_bytes=3593216 dense_bytes=38987268
# layer=26 expert_bytes=3593216 dense_bytes=44191236
# layer=27 expert_bytes=4336640 dense_bytes=44191236
# layer=28 expert_bytes=3593216 dense_bytes=44191236
# layer=29 expert_bytes=3593216 dense_bytes=52393476
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,16,0,5,53,0.093662,0,0
0,0,17,0,0,126,0.396362,0,0
0,0,17,0,1,39,0.231221,0,0
0,0,17,0,2,68,0.152382,0,0
0,0,17,0,3,33,0.0940298,0,0
0,0,17,0,4,7,0.0658308,0,0
0,0,17,0,5,102,0.0601746,0,0
0,0,18,0,0,73,0.283936,0,4336640
0,0,18,0,1,90,0.191046,0,0
0,0,18,0,2,20,0.190609,0,0
0,0,18,0,3,127,0.117828,0,4336640
0,0,18,0,4,53,0.111294,0,0
0,0,18,0,5,47,0.105288,0,0
0,0,19,0,0,46,0.250868,0,0
0,0,19,0,1,107,0.217539,0,0
0,0,19,0,2,32,0.171404,0,0
0,0,19,0,3,102,0.157702,0,0
0,0,19,0,4,39,0.123146,0,0
0,0,19,0,5,76,0.0793397,0,4336640
0,0,20,0,0,102,0.36768,0,0
0,0,20,0,1,5,0.297844,0,4336640
0,0,20,0,2,92,0.120495,0,0
0,0,20,0,3,54,0.117021,0,0
0,0,20,0,4,89,0.0519869,0,4336640
0,0,20,0,5,27,0.0449731,0,4336640
0,0,21,0,0,92,0.360642,0,0
0,0,21,0,1,102,0.355005,0,0
0,0,21,0,2,24,0.105121,0,4336640
0,0,21,0,3,69,0.0686065,0,0
0,0,21,0,4,54,0.0604351,0,0
0,0,21,0,5,114,0.0501898,0,0
0,0,22,0,0,69,0.349363,0,0
0,0,22,0,1,15,0.152089,0,4336640
0,0,22,0,2,81,0.147809,0,0
0,0,22,0,3,83,0.133646,0,0
0,0,22,0,4,109,0.110426,0,4336640
0,0,22,0,5,28,0.106667,0,4336640
0,0,23,0,0,60,0.267245,0,0
0,0,23,0,1,105,0.226188,0,0
0,0,23,0,2,111,0.183893,0,4336640
0,0,23,0,3,22,0.110903,0,0
0,0,23,0,4,26,0.106201,0,4336640
0,0,23,0,5,102,0.10557,0,0
0,0,24,0,0,102,0.535204,0,0
0,0,24,0,1,92,0.122762,0,0
0,0,24,0,2,6,0.113984,0,0
0,0,24,0,3,1,0.10757,0,0
0,0,24,0,4,46,0.0803484,0,0
0,0,24,0,5,32,0.0401327,0,0
0,0,25,0,0,102,0.416413,0,0
0,0,25,0,1,54,0.216178,0,0
0,0,25,0,2,69,0.128444,0,0
0,0,25,0,3,81,0.0825312,0,0
0,0,25,0,4,91,0.0792556,0,4336640
0,0,25,0,5,18,0.0771791,0,4336640
0,0,26,0,0,102,0.561582,0,0
0,0,26,0,1,6,0.09754,0,0
0,0,26,0,2,31,0.0925426,0,0
0,0,26,0,3,74,0.0864799,0,0
0,0,26,0,4,125,0.0812521,0,4336640
0,0,26,0,5,124,0.0806037,0,0
0,0,27,0,0,102,0.333251,0,0
0,0,27,0,1,1,0.225952,0,0
0,0,27,0,2,92,0.184062,0,0
