# route_trace v1
# model=/data/local/tmp/shardllm/gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2
# layer=0 expert_bytes=13219200 dense_bytes=23280128
# layer=1 expert_bytes=13219200 dense_bytes=23280128
# layer=2 expert_bytes=13219200 dense_bytes=23280128
# layer=3 expert_bytes=13219200 dense_bytes=23280128
# layer=4 expert_bytes=13219200 dense_bytes=22727168
# layer=5 expert_bytes=13219200 dense_bytes=22727168
# layer=6 expert_bytes=13219200 dense_bytes=23280128
# layer=7 expert_bytes=13219200 dense_bytes=22727168
# layer=8 expert_bytes=13219200 dense_bytes=22727168
# layer=9 expert_bytes=13219200 dense_bytes=23280128
# layer=10 expert_bytes=13219200 dense_bytes=22727168
# layer=11 expert_bytes=13219200 dense_bytes=22727168
# layer=12 expert_bytes=13219200 dense_bytes=23280128
# layer=13 expert_bytes=13219200 dense_bytes=22727168
# layer=14 expert_bytes=13219200 dense_bytes=22727168
# layer=15 expert_bytes=13219200 dense_bytes=23280128
# layer=16 expert_bytes=13219200 dense_bytes=22727168
# layer=17 expert_bytes=13219200 dense_bytes=22727168
# layer=18 expert_bytes=13219200 dense_bytes=23280128
# layer=19 expert_bytes=13219200 dense_bytes=22727168
# layer=20 expert_bytes=13219200 dense_bytes=22727168
# layer=21 expert_bytes=13219200 dense_bytes=23280128
# layer=22 expert_bytes=13219200 dense_bytes=22727168
# layer=23 expert_bytes=13219200 dense_bytes=22727168
# layer=24 expert_bytes=13219200 dense_bytes=23280128
# layer=25 expert_bytes=13219200 dense_bytes=22727168
# layer=26 expert_bytes=13219200 dense_bytes=22727168
# layer=27 expert_bytes=13219200 dense_bytes=23280128
# layer=28 expert_bytes=13219200 dense_bytes=22727168
# layer=29 expert_bytes=13219200 dense_bytes=22727168
# layer=30 expert_bytes=13219200 dense_bytes=23280128
# layer=31 expert_bytes=13219200 dense_bytes=23280128
# layer=32 expert_bytes=13219200 dense_bytes=23280128
# layer=33 expert_bytes=13219200 dense_bytes=23280128
# layer=34 expert_bytes=13219200 dense_bytes=23280128
# layer=35 expert_bytes=13219200 dense_bytes=23280128
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,46,0,1,46,0.271675,0,0
0,0,47,0,0,39,0.860391,0,0
0,0,47,0,1,93,0.139609,0,13219200
0,0,48,0,0,42,0.502189,0,0
0,0,48,0,1,110,0.497812,0,0
0,0,49,0,0,39,0.863231,0,0
0,0,49,0,1,109,0.136769,0,13219200
0,0,50,0,0,73,0.663146,0,0
0,0,50,0,1,110,0.336854,0,0
0,0,51,0,0,23,0.533386,0,0
0,0,51,0,1,11,0.466614,0,13219200
0,0,52,0,0,96,0.53478,0,0
0,0,52,0,1,28,0.46522,0,0
0,0,53,0,0,53,0.528665,0,13219200
0,0,53,0,1,34,0.471335,0,0
0,0,54,0,0,38,0.595294,0,0
0,0,54,0,1,40,0.404706,0,13219200
0,0,55,0,0,4,0.595544,0,0
0,0,55,0,1,112,0.404456,0,0
0,0,56,0,0,19,0.521834,0,0
0,0,56,0,1,37,0.478166,0,13219200
0,0,57,0,0,19,0.657204,0,0
0,0,57,0,1,63,0.342796,0,13219200
0,0,58,0,0,96,0.574132,0,0
0,0,58,0,1,68,0.425868,0,13219200
0,0,59,0,0,23,0.649182,0,0
0,0,59,0,1,11,0.350818,0,0
0,0,60,0,0,83,0.565898,0,0
0,0,60,0,1,28,0.434102,0,0
0,0,61,0,0,83,0.544866,0,0
0,0,61,0,1,14,0.455134,0,13219200
0,0,62,0,0,27,0.530382,0,13219200
0,0,62,0,1,28,0.469618,0,0
0,0,63,0,0,8,0.634021,0,0
0,0,63,0,1,83,0.365979,0,0
0,0,64,0,0,8,0.509418,0,0
0,0,64,0,1,69,0.490582,0,13219200
0,0,65,0,0,52,0.741337,0,0
0,0,65,0,1,67,0.258663,0,13219200
0,0,66,0,0,52,0.862439,0,0
0,0,66,0,1,61,0.137561,0,0
0,0,67,0,0,96,0.543562,0,0
0,0,67,0,1,126,0.456438,0,13219200
0,0,68,0,0,66,0.522656,0,0
0,0,68,0,1,2,0.477344,0,0
0,0,69,0,0,5,0.638689,0,13219200
0,0,69,0,1,71,0.361311,0,0
0,0,70,0,0,84,0.503511,0,13219200
0,0,70,0,1,7,0.496489,0,13219200
0,0,71,0,0,34,0.839107,0,0
0,0,71,0,1,111,0.160893,0,13219200
0,0,72,0,0,53,0.54462,0,0
0,0,72,0,1,55,0.45538,0,0
0,0,73,0,0,92,0.509712,0,13219200
0,0,73,0,1,82,0.490288,0,0
0,0,74,0,0,98,0.55822,0,0
0,0,74,0,1,102,0.44178,0,0
0,0,75,0,0,102,0.603673,0,0
0,0,75,0,1,111,0.396327,0,0
0,0,76,0,0,19,0.79539,0,0
0,0,76,0,1,52,0.20461,0,0
0,0,77,0,0,96,0.507906,0,0
0,0,77,0,1,10,0.492094,0,13219200
0,0,78,0,0,23,0.679882,0,0
0,0,78,0,1,11,0.320118,0,0
0,0,79,0,0,83,0.590885,0,0
0,0,79,0,1,28,0.409116,0,0
0,0,80,0,0,83,0.544298,0,0
0,0,80,0,1,14,0.455702,0,0
0,0,81,0,0,28,0.627892,0,0
0,0,81,0,1,108,0.372108,0,0
0,0,82,0,0,45,0.77236,0,13219200
0,0,82,0,1,72,0.22764,0,13219200
0,0,83,0,0,73,0.567863,0,0
0,0,83,0,1,28,0.432137,0,0
0,0,84,0,0,8,0.667947,0,0
0,0,84,0,1,83,0.332053,0,0
0,0,0,1,0,93,0.753942,0,13219200
0,0,0,1,1,64,0.246058,0,13219200
0,0,1,1,0,40,0.571681,0,13219200
0,0,1,1,1,106,0.428319,0,13219200
0,0,2,1,0,52,0.629543,0,13219200
0,0,2,1,1,123,0.370457,0,13219200
0,0,3,1,0,0,0.584335,0,13219200
0,0,3,1,1,123,0.415665,0,0
0,0,4,1,0,0,0.502146,0,0
0,0,4,1,1,15,0.497854,0,13219200
0,0,5,1,0,5,0.544599,0,13219200
0,0,5,1,1,64,0.455401,0,0
0,0,6,1,0,105,0.642596,0,13219200
0,0,6,1,1,64,0.357404,0,0
0,0,7,1,0,72,0.721083,0,13219200
0,0,7,1,1,65,0.278917,0,13219200
0,0,8,1,0,91,0.735988,0,13219200
0,0,8,1,1,40,0.264012,0,0
0,0,9,1,0,109,0.552476,0,13219200
0,0,9,1,1,93,0.447524,0,0
0,0,10,1,0,105,0.578257,0,0
0,0,10,1,1,75,0.421743,0,13219200
0,0,11,1,0,105,0.566991,0,0
0,0,11,1,1,0,0.433009,0,0
0,0,12,1,0,0,0.640062,0,0
0,0,12,1,1,104,0.359938,0,13219200
0,0,13,1,0,74,0.587745,0,13219200
0,0,13,1,1,37,0.412255,0,13219200
0,0,14,1,0,105,0.505648,0,0
0,0,14,1,1,5,0.494352,0,0
0,0,15,1,0,105,0.694949,0,0
0,0,15,1,1,5,0.305051,0,0
0,0,16,1,0,52,0.73633,0,0
0,0,16,1,1,28,0.26367,0,13219200
0,0,17,1,0,29,0.566725,0,13219200
0,0,17,1,1,125,0.433275,0,13219200
0,0,18,1,0,63,0.672897,0,13219200
0,0,18,1,1,105,0.327103,0,0
0,0,19,1,0,109,0.528943,0,0
0,0,19,1,1,16,0.471057,0,13219200
0,0,20,1,0,98,0.616678,0,13219200
0,0,20,1,1,17,0.383322,0,13219200
0,0,21,1,0,12,0.631637,0,13219200
0,0,21,1,1,92,0.368363,0,13219200
0,0,22,1,0,12,0.565867,0,0
0,0,22,1,1,99,0.434133,0,13219200
0,0,23,1,0,63,0.597551,0,0
0,0,23,1,1,4,0.402449,0,13219200
0,0,24,1,0,12,0.606181,0,0
0,0,24,1,1,79,0.393819,0,13219200
0,0,25,1,0,52,0.703569,0,0
0,0,25,1,1,28,0.296431,0,0
0,0,26,1,0,109,0.758058,0,0
0,0,26,1,1,46,0.241942,0,13219200
0,0,27,1,0,63,0.739021,0,0
0,0,27,1,1,126,0.260979,0,13219200
0,0,28,1,0,16,0.571834,0,0
0,0,28,1,1,101,0.428166,0,13219200
0,0,29,1,0,92,0.582803,0,0
0,0,29,1,1,98,0.417197,0,0
0,0,30,1,0,12,0.64275,0,0
0,0,30,1,1,126,0.35725,0,0
0,0,31,1,0,20,0.514076,0,13219200
0,0,31,1,1,12,0.485924,0,0
0,0,32,1,0,63,0.6031,0,0
0,0,32,1,1,98,0.3969,0,0
0,0,33,1,0,12,0.765354,0,0
0,0,33,1,1,126,0.234646,0,0
0,0,34,1,0,92,0.892795,0,0
0,0,34,1,1,18,0.107205,0,13219200
0,0,35,1,0,12,0.742278,0,0
0,0,35,1,1,99,0.257722,0,0
0,0,36,1,0,52,0.785399,0,0
0,0,36,1,1,107,0.214601,0,13219200
0,0,37,1,0,126,0.598206,0,0
0,0,37,1,1,123,0.401794,0,0
0,0,38,1,0,21,0.502268,0,13219200
0,0,38,1,1,50,0.497732,0,13219200
0,0,39,1,0,109,0.510788,0,0
0,0,39,1,1,16,0.489212,0,0
0,0,40,1,0,105,0.615089,0,0
0,0,40,1,1,60,0.384911,0,13219200
0,0,41,1,0,52,0.809663,0,0
0,0,41,1,1,28,0.190337,0,0
0,0,42,1,0,76,0.716005,0,13219200
0,0,42,1,1,81,0.283995,0,13219200
0,0,43,1,0,60,0.599824,0,0
0,0,43,1,1,19,0.400176,0,13219200
0,0,44,1,0,21,0.508382,0,0
0,0,44,1,1,69,0.491618,0,13219200
0,0,45,1,0,101,0.584718,0,0
0,0,45,1,1,16,0.415282,0,0
0,0,46,1,0,51,0.711428,0,13219200
0,0,46,1,1,21,0.288572,0,0
0,0,47,1,0,45,0.57394,0,13219200
0,0,47,1,1,65,0.42606,0,0
0,0,48,1,0,21,0.580592,0,0
0,0,48,1,1,126,0.419408,0,0
0,0,49,1,0,45,0.563669,0,0
0,0,49,1,1,32,0.43633,0,13219200
0,0,50,1,0,119,0.568183,0,13219200
0,0,50,1,1,126,0.431817,0,0
