step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,740.703,415.090,325.613,679403520,4.42,0.000
2,256,374.849,209.784,165.065,442269696,10.17,0.000
3,256,425.991,253.889,172.102,530202624,14.08,0.000
4,256,285.513,145.394,140.119,286691328,19.24,0.000
5,256,290.831,148.389,142.442,283385856,23.63,0.000
6,256,307.763,150.819,156.944,289763328,27.31,0.000
7,256,245.931,98.845,147.086,173371392,31.21,0.000
8,256,285.930,140.567,145.363,267042816,34.05,0.000
9,256,320.253,171.584,148.670,335671296,36.20,0.000
10,256,319.513,167.594,151.919,328138752,38.12,0.000
11,256,294.308,149.071,145.237,272375808,40.11,0.000
12,256,229.976,97.837,132.138,172560384,42.36,0.000
13,256,358.709,194.447,164.262,391372288,43.46,0.000
14,256,277.007,128.390,148.618,231972864,45.11,0.000
15,256,445.433,242.871,202.562,498266112,45.52,0.000
16,256,259.652,121.362,138.290,224956416,46.99,0.000
17,256,219.544,87.871,131.673,141606912,48.62,0.000
18,256,243.979,110.605,133.373,192847872,49.94,0.000
19,256,340.534,185.779,154.755,364363776,50.59,0.000
20,256,262.592,119.119,143.474,207802368,51.70,0.000
21,256,250.544,115.626,134.918,198180864,52.76,0.000
22,256,196.111,73.435,122.676,116797440,54.00,0.000
23,256,182.833,59.716,123.118,95121408,55.21,0.000
24,256,275.064,136.165,138.899,251682816,55.90,0.000
25,256,204.765,78.575,126.190,131751936,56.89,0.000
26,256,190.432,68.178,122.254,108220416,57.88,0.000
27,256,208.548,82.783,125.765,137318400,58.74,0.000
28,256,204.580,79.662,124.919,132157440,59.56,0.000
29,256,201.041,73.017,128.024,122535936,60.37,0.000
30,256,156.369,39.279,117.090,55123968,61.29,0.000
31,256,182.992,61.249,121.743,102653952,62.06,0.000
32,256,198.110,75.443,122.667,113553408,62.75,0.000
33,256,152.567,34.654,117.913,50196480,63.56,0.000
34,256,490.091,231.507,258.584,462557184,63.43,0.000
35,256,398.360,228.445,169.915,474034176,63.28,0.000
36,256,389.917,219.276,170.641,446152704,63.19,0.000
37,256,271.434,131.123,140.312,236261376,63.54,0.000
38,256,213.997,84.336,129.661,142012416,64.06,0.000
39,256,275.746,130.083,145.663,233422848,64.38,0.000
40,256,210.238,83.275,126.963,134651904,64.87,0.000
41,256,308.354,160.724,147.630,309817344,65.03,0.000
42,256,388.761,221.153,167.609,464584704,64.89,0.000
43,256,422.069,234.061,188.008,487305216,64.72,0.000
44,256,236.627,102.233,134.393,184848384,65.08,0.000
45,256,252.240,114.914,137.325,212496384,65.38,0.000
46,256,207.559,80.809,126.750,139984896,65.79,0.000
47,256,187.592,66.598,120.993,112914432,66.23,0.000
48,256,248.262,98.990,149.272,167866368,66.56,0.000
49,256,272.126,130.191,141.935,237305856,66.77,0.000
50,256,292.801,144.789,148.012,270925824,66.92,0.000
51,256,295.208,142.216,152.992,259104768,67.08,0.000
52,256,238.155,106.942,131.214,191569920,67.35,0.000
53,256,247.172,111.522,135.650,211513344,67.57,0.000
54,256,175.467,55.502,119.965,88510464,67.97,0.000
55,256,169.384,48.048,121.336,72744960,68.37,0.000
56,256,188.197,66.649,121.548,103292928,68.72,0.000
57,256,334.073,170.558,163.516,345759744,68.72,0.000
58,256,210.500,70.128,140.372,117841920,69.03,0.000
59,256,154.530,35.647,118.882,52457472,69.43,0.000
60,256,220.801,92.379,128.422,148795392,69.68,0.000
61,256,351.453,188.139,163.314,377057280,69.63,0.000
62,256,276.550,134.845,141.705,252493824,69.73,0.000
63,256,200.522,75.896,124.626,123174912,70.00,0.000
64,256,198.251,73.329,124.921,116219904,70.27,0.000
65,256,249.640,112.574,137.066,202469376,70.43,0.000
66,256,557.263,335.802,221.461,741888000,69.92,0.000
67,256,326.802,160.627,166.176,297762816,69.97,0.000
68,256,658.091,132.885,525.206,214179840,70.10,0.000
69,256,284.898,142.220,142.678,268259328,70.18,0.000
70,256,297.648,145.640,152.008,281358336,70.24,0.000
71,256,429.155,84.141,345.014,129724416,70.47,0.000
72,256,267.586,116.072,151.514,189370368,70.62,0.000
73,256,309.962,147.803,162.158,268431360,70.69,0.000
74,256,283.150,122.775,160.375,211279872,70.81,0.000
75,256,320.175,148.208,171.966,260898816,70.88,0.000
76,256,390.041,204.515,185.526,405405696,70.79,0.000
77,256,292.169,127.576,164.593,227856384,70.89,0.000
78,256,242.639,94.035,148.605,144273408,71.08,0.000
79,256,297.978,141.186,156.792,263737344,71.14,0.000
80,256,917.412,269.485,647.927,488288256,70.97,0.000
81,256,234.837,87.407,147.430,141201408,71.16,0.000
82,256,544.435,329.452,214.983,697368576,70.78,0.000
83,256,350.267,181.911,168.356,346570752,70.75,0.000
84,256,401.356,218.886,182.470,441458688,70.64,0.000
85,256,274.480,125.882,148.598,226639872,70.73,0.000
86,256,328.583,165.434,163.149,317239296,70.74,0.000
87,256,395.107,216.783,178.324,441569280,70.63,0.000
88,256,469.243,208.091,261.152,406388736,70.56,0.000
89,256,314.411,174.490,139.921,353931264,70.53,0.000
90,256,273.637,132.075,141.561,238288896,70.62,0.000
91,256,208.247,88.586,119.660,161660928,70.77,0.000
92,256,208.759,94.351,114.408,167632896,70.91,0.000
93,256,174.170,65.548,108.622,112508928,71.10,0.000
94,256,332.687,62.306,270.381,98770944,71.29,0.000
95,256,166.850,61.804,105.046,99004416,71.49,0.000
96,256,361.843,176.832,185.011,376246272,71.43,0.000
97,256,312.090,172.096,139.994,350220288,71.41,0.000
98,256,279.187,148.091,131.097,295096320,71.43,0.000
99,256,261.765,134.830,126.935,266575872,71.47,0.000
100,256,184.146,67.311,116.835,114536448,71.64,0.000
101,256,255.571,125.213,130.359,244666368,71.70,0.000
102,256,281.605,130.890,150.715,244666368,71.76,0.000
103,256,225.948,106.351,119.597,191803392,71.86,0.000
104,256,275.337,139.359,135.978,271159296,71.89,0.000
105,256,332.381,122.215,210.166,230522880,71.96,0.000
106,256,214.647,104.361,110.286,193019904,72.05,0.000
107,256,180.578,76.178,104.401,130535424,72.19,0.000
108,256,131.251,36.236,95.015,58601472,72.39,0.000
109,256,146.005,48.244,97.761,75005952,72.57,0.000
110,256,464.131,257.141,206.990,538546176,72.39,0.000
111,256,330.749,167.748,163.001,313356288,72.38,0.000
112,256,636.308,253.107,383.201,512114688,72.23,0.000
113,256,252.013,106.687,145.325,179920896,72.33,0.000
114,256,291.948,134.369,157.579,238522368,72.38,0.000
115,256,357.829,188.257,169.573,371085312,72.33,0.000
116,256,350.559,180.880,169.679,350220288,72.30,0.000
117,256,243.049,100.882,142.167,171110400,72.40,0.000
118,256,314.381,152.108,162.273,282636288,72.42,0.000
119,256,349.186,179.696,169.489,347959296,72.39,0.000
120,256,297.144,140.017,157.126,266637312,72.41,0.000
121,256,355.628,184.772,170.856,365985792,72.37,0.000
122,256,281.764,129.057,152.707,234405888,72.42,0.000
123,256,319.537,156.753,162.785,302628864,72.43,0.000
124,256,326.641,160.610,166.031,308600832,72.43,0.000
125,256,318.052,158.872,159.180,299212800,72.43,0.000
126,256,234.750,92.954,141.796,155516928,72.54,0.000
127,256,271.162,118.419,152.744,214351872,72.60,0.000
128,256,182.524,53.888,128.637,84627456,72.74,0.000
129,256,249.099,95.442,153.657,161660928,72.84,0.000
130,256,501.681,122.608,379.073,198758400,72.91,0.000
131,256,309.051,106.830,202.220,176443392,72.99,0.000
132,256,198.209,64.026,134.183,110419968,73.11,0.000
133,256,608.446,202.650,405.797,380534784,73.06,0.000
134,256,276.088,122.472,153.616,214757376,73.12,0.000
135,256,308.772,151.491,157.281,284835840,73.12,0.000
136,256,349.884,183.336,166.548,350625792,73.09,0.000
137,256,276.118,121.379,154.738,213540864,73.15,0.000
138,256,381.496,205.472,176.025,416354304,73.08,0.000
139,256,348.339,177.462,170.877,347381760,73.04,0.000
140,256,326.367,136.565,189.802,240783360,73.08,0.000
141,256,321.794,157.796,163.998,296140800,73.08,0.000
142,256,240.362,97.343,143.019,165777408,73.16,0.000
143,256,214.620,75.834,138.786,120508416,73.27,0.000
144,256,291.664,136.963,154.701,245305344,73.30,0.000
145,256,234.729,87.352,147.377,135462912,73.39,0.000
146,256,159.105,37.682,121.423,59006976,73.53,0.000
147,256,268.934,116.253,152.681,206352384,73.58,0.000
148,256,262.200,114.545,147.655,186875904,73.65,0.000
149,256,310.971,151.966,159.005,286052352,73.65,0.000
150,256,279.039,126.507,152.532,227450880,73.69,0.000
151,256,229.736,87.567,142.169,144273408,73.77,0.000
152,256,254.233,106.906,147.327,178704384,73.84,0.000
153,256,239.699,97.358,142.341,165371904,73.91,0.000
154,256,386.363,194.804,191.559,381517824,73.86,0.000
155,256,232.441,89.725,142.716,145084416,73.94,0.000
156,256,202.490,66.354,136.136,106131456,74.04,0.000
157,256,390.329,211.415,178.914,425459712,73.97,0.000
158,256,277.277,116.303,160.974,191397888,74.02,0.000
159,256,245.334,93.431,151.903,158994432,74.09,0.000
160,256,166.574,38.181,128.393,57151488,74.22,0.000
161,256,153.425,30.005,123.420,40169472,74.35,0.000
162,256,179.818,48.272,131.546,75005952,74.46,0.000
163,256,300.765,142.672,158.094,269647872,74.47,0.000
164,256,406.914,218.981,187.933,445747200,74.38,0.000
165,256,306.581,145.988,160.593,266403840,74.39,0.000
166,256,261.950,104.259,157.690,176443392,74.45,0.000
167,256,263.853,113.376,150.478,196325376,74.49,0.000
168,256,241.306,96.472,144.835,151633920,74.56,0.000
169,256,391.245,213.776,177.469,431603712,74.48,0.000
170,256,278.921,121.738,157.183,204730368,74.52,0.000
171,256,371.680,187.800,183.879,367669248,74.48,0.000
172,256,280.645,128.182,152.463,235855872,74.50,0.000
173,256,418.923,232.626,186.298,480989184,74.40,0.000
174,256,302.185,142.264,159.921,264142848,74.41,0.000
175,256,313.848,150.775,163.072,280952832,74.42,0.000
176,256,343.316,167.740,175.576,320483328,74.40,0.000
177,256,268.970,117.753,151.216,212090880,74.43,0.000
178,256,214.837,76.627,138.210,119697408,74.51,0.000
179,256,374.846,197.827,177.019,395550720,74.46,0.000
180,256,385.655,192.020,193.635,369291264,74.42,0.000
181,256,170.898,44.836,126.062,70078464,74.52,0.000
182,256,246.121,101.348,144.773,171921408,74.57,0.000
183,256,153.840,28.332,125.508,38719488,74.69,0.000
184,256,292.666,136.291,156.375,249827328,74.70,0.000
185,256,216.271,78.687,137.584,124968960,74.78,0.000
186,256,254.353,107.216,147.137,180559872,74.82,0.000
187,256,228.686,85.929,142.757,136912896,74.89,0.000
188,256,332.148,164.671,167.477,319033344,74.87,0.000
189,256,548.612,329.408,219.204,697257984,74.67,0.000
190,256,285.215,130.193,155.023,238755840,74.69,0.000
191,256,244.109,99.205,144.904,159633408,74.75,0.000
192,256,237.797,95.851,141.946,156561408,74.80,0.000
193,256,171.951,43.192,128.758,61267968,74.90,0.000
194,256,313.466,151.091,162.375,288952320,74.90,0.000
195,256,251.914,103.414,148.501,176443392,74.94,0.000
196,256,245.177,96.150,149.027,160677888,74.99,0.000
197,256,172.868,43.258,129.610,57790464,75.09,0.000
198,256,209.636,70.773,138.863,113319936,75.16,0.000
199,256,306.551,146.728,159.823,275791872,75.16,0.000
200,256,307.600,147.267,160.333,281530368,75.16,0.000
201,256,272.928,121.301,151.626,217829376,75.19,0.000
202,256,136.667,17.294,119.373,23764992,75.30,0.000
203,256,205.843,57.907,147.936,85438464,75.38,0.000
204,256,151.667,28.066,123.601,39358464,75.48,0.000
205,256,314.767,154.829,159.937,296484864,75.47,0.000
206,256,277.180,123.526,153.654,215568384,75.49,0.000
207,256,237.302,81.340,155.962,128507904,75.55,0.000
208,256,354.687,179.941,174.747,348598272,75.52,0.000
209,256,370.378,174.987,195.390,343904256,75.49,0.000
210,256,297.212,132.556,164.656,241827840,75.50,0.000
211,256,480.436,274.886,205.551,577904640,75.38,0.000
212,256,266.739,116.690,150.049,206524416,75.41,0.000
213,256,254.775,105.117,149.658,179109888,75.44,0.000
214,256,180.602,46.828,133.774,75411456,75.52,0.000
215,256,216.585,76.409,140.175,114130944,75.59,0.000
216,256,158.269,30.850,127.418,43646976,75.68,0.000
217,256,177.796,39.806,137.990,52457472,75.77,0.000
218,256,324.977,13.915,311.062,17215488,75.87,0.000
219,256,307.296,133.913,173.384,242638848,75.88,0.000
220,256,358.016,180.004,178.012,349003776,75.85,0.000
221,256,259.692,111.162,148.529,200613888,75.87,0.000
222,256,436.774,245.855,190.918,514781184,75.78,0.000
223,256,346.031,166.897,179.134,324599808,75.75,0.000
224,256,367.756,184.494,183.263,360886272,75.72,0.000
225,256,213.475,65.549,147.927,98365440,75.78,0.000
226,256,289.637,128.465,161.172,243449856,75.79,0.000
227,256,309.236,143.801,165.434,269881344,75.79,0.000
228,256,496.398,283.834,212.564,590020608,75.67,0.000
229,256,300.748,138.252,162.497,249360384,75.68,0.000
230,256,265.559,84.978,180.581,141606912,75.73,0.000
231,256,237.110,85.944,151.166,138940416,75.78,0.000
232,256,170.865,40.530,130.336,62484480,75.86,0.000
233,256,249.571,101.588,147.982,163344384,75.89,0.000
234,256,176.075,40.581,135.494,58195968,75.97,0.000
235,256,162.989,31.707,131.282,49385472,76.05,0.000
236,256,177.859,38.287,139.572,58195968,76.13,0.000
237,256,246.926,99.696,147.230,160677888,76.17,0.000
238,256,262.762,107.907,154.856,192847872,76.19,0.000
239,256,410.775,217.650,193.125,439369728,76.13,0.000
240,256,324.433,158.127,166.305,295096320,76.12,0.000
241,256,200.254,53.022,147.232,71933952,76.19,0.000
242,256,302.244,139.312,162.931,254115840,76.19,0.000
243,256,265.341,109.668,155.673,194064384,76.22,0.000
244,256,260.453,108.181,152.271,182992896,76.25,0.000
245,256,296.191,131.359,164.832,236089344,76.26,0.000
246,256,234.521,87.871,146.650,141201408,76.30,0.000
247,256,257.395,103.579,153.816,172154880,76.33,0.000
248,256,255.375,104.903,150.472,172965888,76.36,0.000
249,256,211.876,70.568,141.308,104509440,76.42,0.000
250,256,303.237,140.662,162.576,260493312,76.42,0.000
251,256,228.929,81.534,147.395,135462912,76.46,0.000
252,256,274.939,119.216,155.723,205369344,76.48,0.000
253,256,216.400,72.620,143.779,108625920,76.53,0.000
254,256,193.048,52.465,140.583,76222464,76.60,0.000
255,256,365.685,187.558,178.126,374218752,76.56,0.000
256,256,399.634,213.132,186.503,424992768,76.50,0.000
# summary tokens=256 s/tok=0.288 tok/s=3.469 read_MiB=57509.4 io_s=32.62 compute_s/tok=0.161 io_s/tok=0.127 cache_hit_pct=76.5 n_prompt=34 load_s=18.009 prefill_s=10.845 prefill_tps=3.14 stall_s/tok=0.000
