step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,842.544,422.200,420.344,815583232,1.61,0.000
2,256,695.523,424.535,270.988,816078848,2.81,0.000
3,256,431.875,223.745,208.130,388624384,7.89,0.000
4,256,603.687,352.653,251.035,667369472,9.69,0.000
5,256,462.142,245.471,216.671,435462144,13.09,0.000
6,256,444.422,223.833,220.589,389406720,16.36,0.000
7,256,511.036,284.150,226.886,522174464,18.26,0.000
8,256,490.389,266.785,223.604,473145344,20.26,0.000
9,256,451.910,239.650,212.260,415629312,22.41,0.000
10,256,371.649,169.490,202.159,267153408,25.14,0.000
11,256,465.104,226.970,238.134,392122368,26.88,0.000
12,256,330.342,132.836,197.505,190087168,29.54,0.000
13,256,354.042,151.641,202.400,216686592,31.80,0.000
14,256,354.588,162.416,192.172,257970176,33.68,0.000
15,256,372.784,173.503,199.281,275251200,35.31,0.000
16,256,319.720,137.182,182.538,207953920,37.08,0.000
17,256,447.750,231.964,215.786,405999616,37.89,0.000
18,256,342.953,152.929,190.024,250036224,39.28,0.000
19,256,437.796,219.916,217.879,374775808,40.06,0.000
20,256,417.453,211.650,205.803,364126208,40.85,0.000
21,256,474.774,251.359,223.415,453722112,41.25,0.000
22,256,374.905,175.180,199.724,288927744,42.19,0.000
23,256,333.148,146.009,187.139,218136576,43.31,0.000
24,256,390.013,184.483,205.530,310603776,44.06,0.000
25,256,477.714,247.461,230.253,436133888,44.36,0.000
26,256,392.099,192.098,200.002,321314816,44.99,0.000
27,256,312.831,134.758,178.073,206716928,45.95,0.000
28,256,260.282,87.763,172.519,116367360,47.11,0.000
29,256,540.958,311.681,229.277,587661312,46.84,0.000
30,256,291.268,106.348,184.920,156057600,47.81,0.000
31,256,420.027,215.260,204.766,373350400,48.13,0.000
32,256,356.509,162.625,193.884,263188480,48.76,0.000
33,256,410.939,205.313,205.626,350240768,49.11,0.000
34,256,606.256,352.467,253.789,670920704,48.63,0.000
35,256,570.099,261.452,308.647,460283904,48.71,0.000
36,256,791.759,260.512,531.247,461332480,48.76,0.000
37,256,360.979,167.175,193.804,270921728,49.27,0.000
38,256,563.383,324.116,239.267,601751552,49.01,0.000
39,256,600.365,342.569,257.795,653529088,48.62,0.000
40,256,503.839,277.497,226.342,494891008,48.61,0.000
41,256,553.545,315.687,237.858,584548352,48.42,0.000
42,256,402.442,195.125,207.316,321568768,48.79,0.000
43,256,414.586,200.768,213.818,348119040,49.07,0.000
44,256,537.804,300.664,237.140,556756992,48.91,0.000
45,256,576.672,311.803,264.869,585859072,48.72,0.000
46,256,331.398,147.265,184.132,226828288,49.23,0.000
47,256,483.919,265.519,218.401,469581824,49.26,0.000
48,256,561.086,305.368,255.718,578699264,49.09,0.000
49,256,496.858,270.188,226.670,475418624,49.11,0.000
50,256,507.495,282.211,225.284,519942144,49.04,0.000
51,256,418.337,206.281,212.056,343146496,49.29,0.000
52,256,384.335,188.775,195.560,309284864,49.60,0.000
53,256,416.274,195.116,221.158,315740160,49.89,0.000
54,256,425.180,215.834,209.346,375525376,50.06,0.000
55,256,455.886,240.949,214.937,438493184,50.13,0.000
56,256,338.951,148.245,190.706,225337344,50.53,0.000
57,256,397.668,199.281,198.387,315703296,50.79,0.000
58,256,318.278,136.638,181.640,211095552,51.20,0.000
59,256,343.812,147.932,195.881,219664384,51.59,0.000
60,256,625.207,362.688,262.518,683720704,51.23,0.000
61,256,533.849,294.356,239.493,534462464,51.12,0.000
62,256,532.752,292.489,240.263,545435648,51.00,0.000
63,256,535.470,297.693,237.777,541560832,50.89,0.000
64,256,336.213,129.960,206.253,189321216,51.29,0.000
65,256,348.131,153.321,194.811,232562688,51.62,0.000
66,256,526.526,298.940,227.586,559820800,51.48,0.000
67,256,470.434,246.354,224.080,416956416,51.55,0.000
68,256,451.164,234.883,216.281,401047552,51.64,0.000
69,256,475.283,226.611,248.672,399413248,51.72,0.000
70,256,450.631,232.646,217.986,414060544,51.79,0.000
71,256,359.588,163.950,195.638,246337536,52.08,0.000
72,256,484.249,260.472,223.777,465080320,52.06,0.000
73,256,314.277,133.679,180.598,216641536,52.37,0.000
74,256,487.958,256.564,231.394,467992576,52.35,0.000
75,256,464.930,247.234,217.696,431988736,52.37,0.000
76,256,634.805,373.892,260.913,699211776,52.07,0.000
77,256,434.525,223.178,211.348,382976000,52.16,0.000
78,256,347.500,150.231,197.269,239140864,52.43,0.000
79,256,389.810,183.270,206.540,309202944,52.60,0.000
80,256,406.042,201.987,204.055,350400512,52.72,0.000
81,256,374.206,165.542,208.664,270794752,52.93,0.000
82,256,341.990,151.246,190.745,237768704,53.18,0.000
83,256,407.650,199.960,207.690,337805312,53.30,0.000
84,256,472.493,250.001,222.492,447983616,53.30,0.000
85,256,444.876,230.626,214.250,418312192,53.33,0.000
86,256,420.430,203.568,216.863,346800128,53.44,0.000
87,256,428.129,216.811,211.319,370573312,53.52,0.000
88,256,414.117,203.451,210.666,338907136,53.64,0.000
89,256,445.505,230.684,214.822,408985600,53.68,0.000
90,256,427.854,215.403,212.452,368381952,53.76,0.000
91,256,376.786,176.324,200.462,296132608,53.91,0.000
92,256,342.759,152.841,189.918,237035520,54.13,0.000
93,256,506.908,277.757,229.151,494469120,54.06,0.000
94,256,400.644,192.674,207.970,338825216,54.16,0.000
95,256,455.380,239.512,215.868,426250240,54.17,0.000
96,256,374.717,176.572,198.145,291885056,54.32,0.000
97,256,525.329,293.614,231.716,534642688,54.22,0.000
98,256,475.239,245.874,229.365,416149504,54.25,0.000
99,256,392.894,190.498,202.395,314994688,54.37,0.000
100,256,520.334,292.217,228.117,529547264,54.28,0.000
101,256,610.278,357.876,252.402,675872768,54.04,0.000
102,256,554.459,314.009,240.450,575553536,53.90,0.000
103,256,532.539,295.240,237.299,555638784,53.80,0.000
104,256,548.249,301.161,247.087,561156096,53.68,0.000
105,256,350.055,155.601,194.455,226836480,53.88,0.000
106,256,354.792,159.581,195.211,257867776,54.05,0.000
107,256,400.084,189.888,210.196,323624960,54.15,0.000
108,256,494.984,272.469,222.515,484040704,54.11,0.000
109,256,399.193,194.257,204.936,315686912,54.22,0.000
110,256,430.927,213.421,217.506,370700288,54.28,0.000
111,256,411.134,205.460,205.674,357613568,54.35,0.000
